,go,ocaml,rust,haskell,typescript,python
go,0.0,0.4181111542945977,0.05144413269516422,0.31059061420507206,0.3657995618838992,0.07642350222809044
ocaml,0.4181111542945977,0.0,0.45625276182059216,0.5068802165576359,0.4596774193548387,0.42885550154661956
rust,0.05144413269516422,0.45625276182059216,0.0,0.3078838969249928,0.3605230386052304,0.09931506849315068
haskell,0.31059061420507206,0.5068802165576359,0.3078838969249928,0.0,0.13898601398601398,0.3327186512118019
typescript,0.3657995618838992,0.4596774193548387,0.3605230386052304,0.13898601398601398,0.0,0.3497820672478207
python,0.07642350222809044,0.42885550154661956,0.09931506849315068,0.3327186512118019,0.3497820672478207,0.0
