,go,haskell,ocaml,python,rust,typescript
go,1.0,1.0,0.9749,1.0,1.0,0.9422
haskell,1.0,1.0,0.9621,1.0,1.0,0.8888
ocaml,0.9749,0.9621,1.0,0.9748,0.9749,0.9716
python,1.0,1.0,0.9748,1.0,1.0,0.9301
rust,1.0,1.0,0.9749,1.0,1.0,0.9422
typescript,0.9422,0.8888,0.9716,0.9301,0.9422,1.0
